entry_time,exit_time,symbol,direction,entry_price,exit_price,position_size,pnl,fees,duration_seconds,is_win,exit_reason
2026-04-18T04:55:15.511248,2026-04-18T05:13:15.511248,BTCUSD,short,64263.21,64512.36,1,-254.15,5.0,1080.0,False,stop_loss
2026-04-18T05:17:15.511248,2026-04-18T05:22:15.511248,BTCUSD,long,64495.01,64345.07,1,-154.94,5.0,300.0,False,stop_loss
2026-04-18T05:22:15.511248,2026-04-18T05:33:15.511248,BTCUSD,short,64345.07,64493.23,1,-153.16,5.0,660.0,False,stop_loss
2026-04-18T05:33:15.511248,2026-04-18T05:37:15.511248,BTCUSD,long,64493.23,64307.41,1,-190.82,5.0,240.0,False,stop_loss
2026-04-18T05:37:15.511248,2026-04-18T05:44:15.511248,BTCUSD,short,64307.41,64188.49,1,113.92,5.0,420.0,True,take_profit
2026-04-18T05:47:15.511248,2026-04-18T05:55:15.511248,BTCUSD,short,64152.58,64333.88,1,-186.3,5.0,480.0,False,stop_loss
2026-04-18T05:55:15.511248,2026-04-18T06:04:15.511248,BTCUSD,short,64333.88,64468.16,1,-139.28,5.0,540.0,False,stop_loss
2026-04-18T06:04:15.511248,2026-04-18T06:14:15.511248,BTCUSD,long,64468.16,64266.71,1,-206.45,5.0,600.0,False,stop_loss
2026-04-18T06:14:15.511248,2026-04-18T06:47:15.511248,BTCUSD,short,64266.71,64398.96,1,-137.25,5.0,1980.0,False,stop_loss
2026-04-18T06:47:15.511248,2026-04-18T06:49:15.511248,BTCUSD,long,64398.96,64574.29,1,170.33,5.0,120.0,True,take_profit
2026-04-18T06:51:15.511248,2026-04-18T07:01:15.511248,BTCUSD,long,64509.8,64741.46,1,226.66,5.0,600.0,True,take_profit
2026-04-18T07:04:15.511248,2026-04-18T07:31:15.511248,BTCUSD,long,64657.2,64868.98,1,206.78,5.0,1620.0,True,take_profit
2026-04-18T07:37:15.511248,2026-04-18T07:42:15.511248,BTCUSD,long,65113.06,65171.79,1,53.73,5.0,300.0,True,take_profit
2026-04-18T07:42:15.511248,2026-04-18T08:25:15.511248,BTCUSD,long,65171.79,64787.66,1,-389.13,5.0,2580.0,False,stop_loss
2026-04-18T08:25:15.511248,2026-04-18T09:08:15.511248,BTCUSD,short,64787.66,64979.07,1,-196.41,5.0,2580.0,False,stop_loss
2026-04-18T09:08:15.511248,2026-04-18T09:15:15.511248,BTCUSD,long,64979.07,65126.96,1,142.89,5.0,420.0,True,take_profit
2026-04-18T09:15:15.511248,2026-04-18T09:25:15.511248,BTCUSD,long,65126.96,65378.74,1,246.78,5.0,600.0,True,take_profit
2026-04-18T09:27:15.511248,2026-04-18T09:31:15.511248,BTCUSD,long,65233.75,65442.98,1,204.23,5.0,240.0,True,take_profit
2026-04-18T09:43:15.511248,2026-04-18T09:48:15.511248,BTCUSD,long,65275.72,65148.62,1,-132.1,5.0,300.0,False,stop_loss
2026-04-18T09:48:15.511248,2026-04-18T10:14:15.511248,BTCUSD,short,65148.62,65310.41,1,-166.79,5.0,1560.0,False,stop_loss
2026-04-18T10:22:15.511248,2026-04-18T10:26:15.511248,BTCUSD,long,65568.41,65306.13,1,-267.28,5.0,240.0,False,stop_loss
2026-04-18T10:26:15.511248,2026-04-18T11:02:15.511248,BTCUSD,long,65306.13,65677.17,1,366.04,5.0,2160.0,True,take_profit
